title,album,artist,id,url
Real Love,Real Love,"Martin Garrix, Lloyiso",6afdNrotJ1PCt9DoFiHpLj,https://open.spotify.com/track/6afdNrotJ1PCt9DoFiHpLj
Rule The World (Everybody),Rule The World (Everybody),"Tiësto, Tears For Fears, NIIKO X SWAE, GUDFELLA",2f2dRxjiUOoV5qhZFbnVO6,https://open.spotify.com/track/2f2dRxjiUOoV5qhZFbnVO6
Save Me,Genesys,"Anyma, Cassian, Poppy Baskcomb",4b2rlKIqyLxpxoIaG7sZ5K,https://open.spotify.com/track/4b2rlKIqyLxpxoIaG7sZ5K
Saving Up,Saving Up,Dom Dolla,787Y2idwCU2Rk60Prv4wpr,https://open.spotify.com/track/787Y2idwCU2Rk60Prv4wpr
Saving Up - LF SYSTEM Remix,Saving Up (LF SYSTEM Remix),"Dom Dolla, LF SYSTEM",4gDVM13rOwSdfGwSaIGWCR,https://open.spotify.com/track/4gDVM13rOwSdfGwSaIGWCR
Selfish Soul - ODESZA Remix,Selfish Soul (ODESZA Remix),"Sudan Archives, ODESZA",6N5thJ3UQMpHdf2fYOB3XL,https://open.spotify.com/track/6N5thJ3UQMpHdf2fYOB3XL
Set Me Free,Set Me Free,Arensky,0zQImx4FvHJQmGr4NTbFky,https://open.spotify.com/track/0zQImx4FvHJQmGr4NTbFky
Set Me Free,My Dreams,"Aaron Shirk, UNDY",2G3pVIgXJdCpGvkkYXbUSj,https://open.spotify.com/track/2G3pVIgXJdCpGvkkYXbUSj
She's On My Mind,Mid Air,Romy,4heve4ydl1u6V3AD4moZq9,https://open.spotify.com/track/4heve4ydl1u6V3AD4moZq9
Soundboy,Soundboy,San Pacho,5RU33jajJPKSXfqJoZpABf,https://open.spotify.com/track/5RU33jajJPKSXfqJoZpABf
Starfall - Trivecta Remix,Starfall (Trivecta Remix),"ILLENIUM, Trivecta",3K7fjBc8sXoSW4f0YpsKb3,https://open.spotify.com/track/3K7fjBc8sXoSW4f0YpsKb3
